M_G,G-RP,BP-RP
7.353,0.836,1.577
7.361,0.849,1.603
7.362,1.3,1.687
7.363,0.879,1.685
7.364,0.935,1.827
7.365,0.948,1.866
7.365,0.839,1.577
7.371,0.94,1.838
7.373,0.872,1.672
7.374,0.96,1.891
7.376,0.829,1.561
7.385,0.965,1.901
7.388,0.943,1.856
7.389,1.032,2.088
7.39,0.924,1.798
7.393,0.873,1.673
7.393,0.965,1.919
7.398,0.829,1.547
7.401,0.972,1.932
7.404,0.981,1.959
7.404,0.855,1.631
7.411,1.579,1.782
7.416,1.027,2.081
7.419,1.099,2.071
7.42,0.844,1.602
7.422,1.003,2.008
7.422,0.927,1.814
7.425,0.958,1.879
7.426,0.781,1.434
7.429,1.154,2.444
7.431,1.01,1.927
7.433,0.972,1.714
7.434,0.914,1.755
7.436,1.027,1.949
7.439,0.847,1.604
7.445,0.944,1.833
7.445,0.947,1.86
7.445,0.987,1.963
7.445,0.889,1.712
7.446,0.894,1.73
7.449,1.014,2.038
7.45,0.9,1.739
7.45,0.883,1.698
7.451,0.901,1.739
7.452,1.24,1.471
7.452,1.002,2.006
7.455,0.905,1.752
7.459,0.94,1.846
7.461,0.958,1.896
7.462,0.957,1.881
7.464,0.935,1.83
7.464,0.974,1.927
7.466,0.904,1.753
7.471,0.822,1.536
7.471,1.047,1.777
7.473,1.114,1.944
7.476,0.871,1.667
7.482,0.848,1.609
7.483,0.916,1.741
7.487,0.945,1.864
7.488,0.979,1.955
7.494,0.99,1.784
7.495,0.881,1.696
7.495,0.862,1.645
7.496,0.891,1.722
7.497,0.856,1.635
7.498,1.682,1.953
7.498,0.884,1.696
7.5,0.934,1.829
7.501,0.89,1.72
7.503,0.871,1.669
7.503,0.812,1.512
7.503,0.875,1.675
7.504,1.09,1.958
7.504,0.872,1.671
7.505,0.937,1.821
7.506,0.902,1.743
7.517,1.404,3
7.518,1.009,2.017
7.519,1,2.004
7.521,1.672,1.751
7.524,0.953,1.825
7.524,0.964,1.895
7.524,0.858,1.634
7.529,0.938,1.805
7.529,0.88,1.69
7.534,0.967,1.906
7.534,0.994,1.984
7.536,0.882,1.687
7.537,0.915,1.761
7.54,0.906,1.756
7.541,0.901,1.73
7.543,0.976,1.946
7.544,0.919,1.746
7.545,0.904,1.753
7.549,0.837,1.585
7.557,1.013,2.04
7.561,0.954,1.883
7.566,0.87,1.605
7.568,0.953,1.831
