M_G,G-RP,BP-RP
7.027,1.097,2.311
7.065,1.113,2.361
7.079,0.921,1.79
7.087,1.138,2.329
7.097,1.099,2.308
7.131,1.287,3.036
7.159,0.83,1.563
7.163,1.377,2.253
7.168,1.108,2.333
7.169,1.085,2.244
7.182,1.168,2.467
7.205,0.833,1.568
7.206,1.247,2.905
7.227,1.036,2.111
7.232,1.663,2.505
7.238,1.66,2.41
7.246,1.166,2.29
7.256,1.002,1.974
7.268,1.117,2.358
7.287,1.051,2.029
7.299,0.765,1.399
7.327,0.887,1.71
7.327,1.372,1.788
7.353,0.878,1.675
7.353,1.107,2.271
7.36,1.087,2.28
7.36,0.775,1.422
7.377,1.012,2.031
7.402,0.93,1.818
7.403,0.85,1.614
7.409,1.17,2.568
7.415,1.02,2.002
7.423,1.059,2.182
7.424,1.149,2.516
7.429,1.111,2.319
7.435,0.849,1.612
7.478,1.175,2.519
7.486,1.169,2.555
7.514,1.113,2.373
7.518,1.037,2.103
7.527,1.089,2.298
7.527,1.081,2.07
7.539,0.866,1.65
7.57,1.121,2.36
7.574,0.878,1.686
7.582,1.175,2.519
7.587,0.828,1.556
7.588,1.102,2.324
7.593,1.195,2.678
7.598,1.051,2.154
7.608,1.155,2.514
7.614,1.194,2.674
7.624,1.137,2.437
7.632,1.227,2.502
7.635,1.111,2.348
7.659,1.107,2.323
7.66,1.205,2.147
7.665,1.287,2.275
7.669,0.993,1.98
7.671,1.14,2.412
7.673,0.864,1.637
7.677,1.032,2.106
7.692,1.129,2.443
7.696,1.014,2.062
7.698,1.122,2.413
7.698,1.021,1.988
7.702,1.044,2.138
7.705,1.12,2.288
7.712,1.088,2.271
7.72,1.04,2.138
7.724,1.183,2.61
7.731,0.971,1.932
7.736,1.145,2.447
7.741,0.916,1.788
7.751,1.226,2.797
7.759,1.164,2.525
7.763,1.049,2.156
7.794,1.281,1.919
7.799,1.134,2.448
7.802,1.068,2.206
7.807,1.28,2.577
7.811,0.896,1.731
7.814,1.08,2.253
7.822,1.071,2.049
7.831,1.097,2.248
7.832,1.396,3.589
7.836,1.073,2.214
7.84,1.177,2.553
7.849,1.147,2.498
7.851,1.245,2.437
