M_G,G-RP,BP-RP
8,0.949,1.871
8.001,0.927,1.817
8.004,1.235,2.767
8.022,0.985,1.97
8.023,1.064,2.197
8.029,1.203,2.715
8.032,1.146,2.469
8.038,1.259,2.958
8.038,1.301,3.21
8.038,1.048,2.132
8.051,1.202,2.692
8.053,0.934,1.832
8.059,1.04,2.047
8.062,1.198,2.669
8.069,1.098,2.315
8.074,1.182,2.633
8.079,1.301,2.728
8.092,1.287,2.892
8.108,1.005,2.024
8.111,1.174,2.601
8.118,1.159,2.54
8.118,1.117,1.983
8.119,1.124,2.403
8.121,1.009,1.902
8.139,0.993,1.996
8.152,1.338,2.913
8.153,1.46,2.855
8.159,1.249,2.939
8.163,1.212,2.705
8.167,1.026,2.086
8.173,1.169,2.576
8.186,0.408,0.576
8.186,1.193,2.696
8.19,0.986,1.972
8.193,1.106,2.243
8.2,1.192,2.666
8.201,0.974,1.945
8.203,1.022,2.078
8.21,1.271,2.999
8.212,0.983,1.947
8.214,1.231,2.816
8.218,1.209,2.723
8.221,1.261,2.88
8.236,1.355,3.441
8.241,1.193,2.665
8.242,0.999,1.997
8.247,1.2,2.711
8.248,1.201,2.647
8.255,1.099,2.316
8.266,1.176,2.592
8.278,1.059,2.201
8.282,1.226,2.783
8.283,1.257,2.857
8.293,0.995,1.984
8.294,1.202,2.666
8.304,1.196,2.674
8.311,1.204,2.682
8.319,1.17,2.592
8.325,1.051,2.163
8.326,1.226,2.782
8.328,1.198,2.704
8.33,1.213,2.706
8.336,1.193,2.664
8.337,1.195,2.697
8.337,1.023,2.087
8.339,0.972,1.932
8.342,1.017,2.044
8.345,1.136,2.465
8.348,1.016,2.061
8.349,1.308,2.73
8.35,1.02,2.066
8.359,1.149,2.501
8.36,1.196,2.688
8.361,1.093,2.301
8.363,1.191,2.651
8.365,1.041,2.064
8.367,1.081,2.125
8.368,1.214,2.738
8.37,1.504,3.366
8.373,1.193,2.693
8.373,1.215,2.603
8.376,1.126,2.407
8.38,1.211,2.719
8.38,1.097,2.277
8.381,1.148,2.496
8.382,1.212,2.762
8.385,1.151,2.497
8.389,1.196,2.679
8.389,1.155,2.522
8.39,1.182,2.603
8.403,1.176,2.572
8.404,1.019,2.063
8.416,1.561,2.533
8.419,1.222,2.678
8.421,1.172,2.582
8.425,0.984,1.971
8.43,0.929,1.821
8.433,1.012,2.02
8.435,1.177,2.596
8.447,0.994,1.996
8.452,1.33,3.346
8.453,0.967,1.922
8.467,0.982,1.96
8.469,1.187,2.04
8.472,1.221,2.92
8.472,1.033,2.059
8.473,1.2,2.72
8.474,1.028,2.09
8.485,1.183,2.64
8.487,1.122,2.395
8.487,1.08,2.225
8.491,1.143,2.469
8.494,1.15,2.498
8.498,1.128,2.4
8.501,1.18,2.622
8.502,1.183,2.628
8.505,1.215,2.729
8.506,1.144,2.477
8.507,1.288,3.124
8.512,1.044,2.147
8.513,1.077,2.245
8.514,1.025,2.08
8.514,1.202,2.685
8.516,1.183,2.631
8.517,1.016,2.067
8.523,1.135,2.446
8.524,1.041,2.116
8.527,1.248,2.943
8.53,1.098,2.329
8.531,1.14,2.467
8.531,1.13,2.425
8.533,1.252,2.88
8.536,1.097,2.292
8.538,1.241,2.907
8.539,1.091,2.29
8.54,1.003,2.026
8.54,1.036,2.125
8.543,1.216,2.775
8.544,1.15,2.499
8.544,1.187,2.656
8.55,1.136,2.455
8.556,1.22,2.801
8.559,0.999,2.012
8.563,1.184,2.391
8.563,0.537,0.899
8.563,1.428,2.441
8.564,1.206,2.734
8.566,1.146,2.42
8.568,1.227,2.77
8.571,1.045,2.146
8.572,1.114,2.368
8.572,1.028,2.097
8.574,1.035,2.119
8.575,1.179,2.592
8.579,1.137,2.454
8.582,1.167,2.576
8.585,1.147,2.492
8.586,1.127,2.399
8.588,1.122,2.399
8.591,1.014,2.052
8.594,1.083,2.257
8.598,1.347,2.716
8.598,1.141,2.469
8.601,1.161,2.531
8.609,1.061,2.2
8.609,1.09,2.294
8.613,1.186,2.644
8.615,0.991,1.976
8.617,1.111,2.376
8.618,1.183,2.659
8.619,1.236,2.862
8.623,1.256,2.92
8.626,0.983,1.962
8.632,1.182,2.593
8.632,1.054,2.177
8.634,1.294,2.685
8.634,1.279,2.826
8.643,1.108,2.35
8.65,1.073,2.228
8.651,1.084,2.27
8.653,1.041,2.138
8.655,0.985,1.974
8.656,1.278,2.227
8.656,1.187,2.612
8.662,1.616,2.673
8.663,1.196,2.664
8.664,1.234,2.844
8.666,1.185,2.651
8.667,1.056,2.191
8.668,1.281,3.102
8.67,1.236,2.892
8.67,1.034,2.117
8.671,1.132,2.439
8.675,1.13,2.424
8.676,1.217,2.804
8.676,1.349,3.477
8.678,1.284,3.117
8.679,1.111,2.372
8.682,1.061,2.201
8.687,1.194,2.674
8.689,1.291,3.112
8.692,1.033,2.108
8.693,1.164,2.574
8.696,1.139,2.463
8.697,1.229,2.817
8.697,1.243,2.934
8.697,1.261,2.871
8.698,1.167,2.545
8.699,1.25,2.924
8.7,1.095,2.309
8.706,1.093,2.307
8.71,0.991,1.988
8.711,1.157,2.514
8.712,1.12,2.395
8.713,1.154,2.469
8.714,1.19,2.545
8.717,1.052,2.162
8.718,1.079,2.248
8.718,1.09,2.271
8.719,1.24,2.882
8.722,1.126,2.393
8.723,1.028,2.096
8.724,1.232,2.663
8.725,1.232,2.861
8.726,1.205,2.742
8.729,1.206,2.743
8.732,1.506,2.694
8.735,1.242,2.899
8.74,1.244,2.9
8.744,1.303,3.244
8.748,1.189,2.654
