M_G,G-RP
11.835,1.387
11.853,1.359
11.863,1.415
11.87,1.295
11.874,1.258
11.878,1.288
11.882,1.296
11.882,1.426
11.884,1.484
11.891,1.445
11.896,1.266
11.9,1.311
11.906,1.265
11.908,1.576
11.91,1.301
11.911,1.412
11.915,1.315
11.917,1.316
11.917,1.529
11.918,1.285
11.92,1.271
11.923,1.65
11.93,1.228
11.942,1.26
11.944,1.217
11.949,1.296
11.949,1.454
11.954,1.331
11.957,1.29
11.958,1.341
11.961,1.336
11.963,1.333
11.969,1.364
11.97,1.254
11.976,1.466
11.978,1.372
11.979,1.27
11.984,1.331
11.993,1.548
11.996,1.285
12,1.294
12.01,1.293
12.012,1.357
12.015,1.294
12.015,1.403
12.016,1.62
12.018,1.304
12.024,1.339
12.027,1.291
12.04,1.258
12.041,1.335
12.044,1.269
12.046,1.304
12.05,1.407
12.056,1.308
12.057,1.423
12.066,1.272
12.068,1.302
12.069,1.493
12.071,1.286
12.076,1.283
12.077,1.449
12.078,1.225
12.081,1.255
12.085,1.139
12.089,1.299
12.097,1.301
12.099,1.293
12.101,1.329
12.102,1.268
12.116,1.294
12.121,1.267
12.121,1.296
12.122,1.273
12.127,1.368
12.129,1.284
12.135,1.259
12.138,1.379
12.14,1.289
12.143,1.291
12.143,1.364
12.144,1.291
12.147,1.265
12.147,1.296
12.15,1.327
12.155,1.293
12.156,1.296
12.159,1.292
12.161,1.295
12.174,1.705
12.177,1.293
12.179,1.272
12.179,1.35
12.181,1.304
12.188,1.363
12.208,1.292
12.209,1.297
12.21,1.271
12.224,1.245
12.227,1.306
12.227,1.382
12.234,1.314
12.241,1.292
12.241,1.388
12.248,1.305
12.25,1.26
12.253,1.448
12.258,1.309
12.259,1.29
12.26,1.287
12.262,1.304
12.262,1.33
12.262,1.377
12.274,1.287
12.281,1.41
12.284,1.291
12.285,1.312
12.285,1.368
12.298,1.313
12.301,1.311
12.301,1.406
12.302,1.31
12.307,1.292
12.311,1.351
12.313,1.338
12.318,1.295
12.32,1.282
12.337,1.319
12.34,1.326
12.344,1.296
12.351,1.497
12.354,1.376
12.356,1.317
12.359,1.353
12.36,1.278
12.361,1.269
12.365,1.3
12.37,1.332
12.371,1.292
12.373,1.309
12.375,1.295
12.375,1.347
12.376,1.429
12.392,1.342
12.393,1.366
12.405,1.278
12.417,1.317
12.421,1.371
12.425,1.411
12.425,1.545
12.428,1.306
12.435,1.355
12.441,1.298
12.442,1.344
12.442,1.35
12.45,1.322
12.453,1.298
12.454,1.307
12.454,1.751
12.466,1.27
12.469,1.306
12.47,1.333
12.471,1.42
12.475,1.366
12.476,1.31
12.479,1.323
12.483,1.272
12.485,1.286
12.488,1.305
12.493,1.285
12.494,1.313
12.504,1.356
12.508,2.038
12.514,1.266
12.518,1.388
12.523,1.392
12.524,1.358
12.528,1.288
12.529,1.362
12.529,1.535
12.531,1.309
12.54,1.293
12.541,1.305
12.55,1.283
12.552,1.359
12.554,1.326
12.554,1.328
12.563,1.46
12.576,1.273
12.578,1.407
12.58,1.383
12.581,1.326
12.589,1.266
12.592,1.362
12.595,1.297
12.596,1.31
12.597,1.337
12.603,1.701
12.606,1.358
12.608,1.295
12.61,1.298
12.61,1.33
12.611,1.456
12.612,1.257
12.614,1.335
12.614,1.374
12.616,1.547
12.624,1.333
12.627,1.322
12.638,1.487
12.649,1.332
12.651,1.321
12.653,1.47
12.657,1.377
12.663,1.335
12.664,1.335
12.668,1.382
12.67,1.36
12.671,1.345
12.672,1.365
12.673,1.335
12.674,1.38
12.675,1.312
12.676,1.313
12.679,1.319
12.687,1.317
12.688,1.359
12.692,1.314
12.692,1.371
12.693,1.32
12.694,1.327
12.698,1.329
12.703,1.367
12.704,1.355
12.706,1.343
12.714,1.34
12.714,1.354
12.716,1.36
12.723,1.353
12.723,1.385
12.724,1.322
12.724,1.33
12.731,1.321
12.731,1.359
12.733,1.367
12.737,1.383
12.74,1.354
12.741,1.33
12.741,1.367
12.742,1.342
12.746,1.339
12.746,1.342
12.746,1.353
12.746,1.382
12.748,1.392
12.765,1.317
12.767,1.354
12.768,1.33
12.771,1.369
12.771,1.52
12.774,1.352
12.774,1.353
12.785,1.436
12.786,1.342
12.789,1.399
12.791,1.438
12.793,1.352
12.798,1.295
12.798,1.341
12.801,1.361
12.805,1.352
12.805,1.379
12.819,1.343
12.819,1.379
12.822,1.316
12.822,1.339
12.822,1.359
12.827,1.331
12.827,1.354
12.832,1.357
12.837,1.355
12.837,1.388
12.837,1.45
12.841,1.427
12.848,1.325
12.848,1.352
12.855,1.352
12.855,1.889
12.856,1.332
12.858,1.333
12.869,1.304
12.87,1.365
12.871,2.099
12.88,1.34
12.884,1.327
12.884,1.418
12.886,1.407
12.887,1.351
12.887,1.351
12.893,1.296
12.894,1.37
12.905,1.372
12.908,1.388
12.914,1.329
12.914,1.335
12.914,1.34
12.914,1.354
12.914,1.376
12.918,1.313
12.918,1.399
12.92,1.381
12.92,1.392
12.921,1.344
12.927,1.403
12.941,1.376
12.949,1.348
12.955,1.343
12.956,1.367
12.961,1.47
12.967,1.343
12.968,1.337
12.968,1.365
12.97,1.422
12.974,1.338
12.979,1.361
12.979,1.386
12.979,1.444
12.982,1.349
12.983,1.341
12.985,1.359
12.989,1.364
12.994,1.361
12.995,1.346
12.996,1.384
12.996,1.389
13,1.367
13.001,1.353
13.006,1.362
13.007,1.361
13.009,1.376
13.009,1.382
