M_G,G-RP,BP-RP
9.001,1.292,3.125
9.001,1.268,2.929
9.002,1.058,2.188
9.008,1.243,2.99
9.009,1.353,3.51
9.014,1.171,2.59
9.027,1.221,2.804
9.029,1.081,2.267
9.032,1.284,3.078
9.042,1.246,2.924
9.043,1.359,3.565
9.047,1.248,2.941
9.052,1.311,3.234
9.059,1.267,2.976
9.069,1.158,2.524
9.078,1.252,2.935
9.081,1.269,3.033
9.081,1.263,3.016
9.085,1.319,3.285
9.087,1.487,3.195
9.088,1.37,3.548
9.088,1.399,3.367
9.091,1.267,3.047
9.099,1.245,2.904
9.1,1.181,2.573
9.1,1.275,3.057
9.101,1.285,3.1
9.101,1.249,2.954
9.102,1.157,2.415
9.103,1.277,3.073
9.107,1.438,2.871
9.107,1.3,3.184
9.108,1.263,3.012
9.111,1.236,2.896
9.115,1.235,2.83
9.124,1.29,3.162
9.125,1.203,2.713
9.126,1.249,2.949
9.128,1.132,2.426
9.129,1.253,2.946
9.133,1.248,2.907
9.135,1.336,3.403
9.137,1.217,2.781
9.138,1.317,3.266
9.141,1.167,2.555
9.143,1.743,2.495
9.145,1.196,2.675
9.155,0.998,2.016
9.158,1.247,2.907
9.158,1.291,2.856
9.163,1.305,3.228
9.164,1.37,3.406
9.164,1.345,3.402
9.165,1.257,2.954
9.17,1.298,2.946
9.171,1.23,2.823
9.173,1.238,2.895
9.176,1.477,3.269
9.181,0.773,1.424
9.183,1.268,3.001
9.184,1.247,2.933
9.186,1.212,2.767
9.186,1.224,2.689
9.187,1.242,2.915
9.188,1.597,2.79
9.189,1.286,3.09
9.19,1.218,2.734
9.2,1.318,3.306
9.201,1.287,3.189
9.203,1.265,2.99
9.203,1.551,2.604
9.204,1.198,2.688
9.211,1.278,3.069
9.212,1.218,2.783
9.214,1.258,2.937
9.217,1.155,2.524
9.22,1.364,3.611
9.226,1.217,2.776
9.227,1.426,4.03
9.23,1.134,2.44
9.24,1.307,3.217
9.242,1.401,2.85
9.243,1.265,3.032
9.245,1.01,2.029
9.246,1.329,3.57
9.252,1.221,2.803
9.252,1.295,3.154
9.255,1.338,3.407
9.257,1.352,3.487
9.257,1.086,2.272
9.257,1.32,3.299
9.26,1.199,2.707
9.26,1.399,3.798
9.261,1.253,2.974
9.263,1.283,3.12
9.266,1.113,2.352
9.269,1.255,2.963
9.279,1.307,3.227
9.279,1.287,3.132
9.28,1.212,2.766
9.285,1.166,2.585
9.286,1.288,3.141
9.29,1.209,2.726
9.292,1.305,3.239
9.296,1.289,3.149
9.297,1.26,2.99
9.297,1.293,2.831
9.31,1.228,2.808
9.314,1.269,2.766
9.314,1.328,3.299
9.316,1.165,2.563
9.317,1.266,2.894
9.318,1.083,2.266
9.321,1.29,3.146
9.322,1.237,2.825
9.325,1.358,3.543
9.327,1.388,3.719
9.327,1.303,3.203
9.335,1.207,2.703
9.338,1.126,2.413
9.34,1.234,2.856
9.34,1.298,3.144
9.34,1.284,3.132
9.342,1.283,3.116
9.343,1.119,2.384
9.343,1.277,3.057
9.347,1.121,2.39
9.35,1.282,3.094
9.351,1.183,2.608
9.354,1.285,2.989
9.361,1.336,3.374
9.362,1.238,2.805
9.366,1.183,2.636
9.368,1.101,2.325
9.373,1.223,2.76
9.373,1.346,3.389
9.377,1.298,3.22
9.383,1.168,2.585
9.386,1.22,2.773
9.388,1.329,3.129
9.388,1.33,3.323
9.388,1.568,2.969
9.392,1.175,2.587
9.393,1.297,3.159
9.394,1.17,2.538
9.395,1.278,3.104
9.397,1.324,3.112
9.397,1.31,3.259
9.399,1.158,2.515
9.403,1.303,3.222
9.407,1.16,2.554
9.408,1.139,2.462
9.412,1.425,3.061
9.414,1.216,2.732
9.417,1.472,2.554
9.42,1.302,3.217
9.423,1.314,3.263
9.428,1.295,3.155
9.43,1.391,3.031
9.43,1.357,3.381
9.431,1.164,2.575
9.431,1.32,3.273
9.433,1.201,2.717
9.435,1.113,2.376
9.435,1.292,3.161
9.435,1.307,3.073
9.436,1.283,3.124
9.437,1.304,3.224
9.438,1.311,3.25
9.439,1.228,2.811
9.44,1.165,2.551
9.443,1.221,2.786
9.444,1.24,2.909
9.445,1.113,2.38
9.445,1.157,2.527
9.446,1.133,2.436
9.457,1.263,2.926
9.457,1.375,3.589
9.46,1.488,3.126
9.47,1.154,2.522
9.475,1.356,3.441
9.481,1.276,3.078
9.483,1.33,3.358
9.484,1.317,3.29
9.484,1.399,3.737
9.493,1.309,3.073
9.499,1.245,2.858
9.5,1.262,2.942
9.504,1.294,3.155
9.505,1.266,3.016
9.506,1.264,2.589
9.509,1.282,3.107
9.51,1.266,3.025
9.513,1.128,2.418
9.513,1.207,2.713
9.513,1.171,2.598
9.514,1.326,3.262
9.515,1.162,2.525
9.516,1.302,3.19
9.52,1.306,2.572
9.521,1.389,3.745
9.522,1.328,3.349
9.525,1.088,2.282
9.527,1.26,2.98
9.528,1.275,3.064
9.529,1.294,2.954
9.531,1.295,3.166
9.531,1.105,2.343
9.536,1.389,3.731
9.543,1.169,2.553
9.545,1.679,3.159
9.549,1.213,2.772
9.549,1.193,2.663
9.552,1.089,2.271
9.553,1.345,3.432
9.559,1.288,3.127
9.561,1.283,3.102
9.562,1.207,2.742
9.565,1.389,3.617
9.566,1.281,3.041
9.567,0.886,1.229
9.568,1.203,2.699
9.569,1.153,2.522
9.57,1.255,2.969
9.572,1.224,2.812
9.575,1.201,2.73
9.578,1.357,3.498
9.581,1.313,3.256
9.589,1.288,3.158
9.59,1.298,3.103
9.595,1.113,2.38
9.597,1.238,2.532
9.597,2.387,-8.684
9.598,1.202,2.716
9.602,1.391,3.031
9.606,1.286,3.124
9.608,1.589,2.833
9.608,1.292,3.155
9.608,1.209,2.737
9.61,1.238,2.532
9.613,1.391,3.031
9.614,1.157,2.547
9.618,1.231,2.845
9.631,1.488,3.126
9.634,1.209,2.713
9.639,1.211,2.74
9.642,1.488,3.126
9.645,1.181,2.612
9.648,1.256,2.88
9.648,1.19,2.677
9.65,1.227,2.828
9.655,1.321,3.314
9.658,1.397,3.831
9.658,1.121,2.412
9.659,1.327,3.309
9.659,1.17,2.588
9.665,1.27,3.022
9.666,1.131,2.437
9.667,1.305,3.246
9.667,1.227,2.838
9.67,1.291,3.13
9.674,1.217,2.763
9.674,1.254,2.945
9.675,1.203,2.711
9.675,1.195,2.687
9.677,1.26,2.966
9.677,1.238,2.867
9.68,1.189,2.632
9.68,1.178,2.62
9.683,1.307,3.255
9.683,1.161,2.543
9.684,1.236,2.83
9.685,1.211,2.758
9.69,1.252,2.946
9.693,1.14,2.477
9.695,1.392,3.676
9.696,1.127,2.416
9.697,1.202,2.697
9.699,1.307,3.233
9.7,1.115,2.377
9.704,1.561,4.138
9.704,1.432,2.707
9.708,1.177,2.625
9.709,1.685,2.727
9.709,1.304,3.215
9.709,1.24,2.803
9.709,1.162,2.541
9.71,1.357,3.375
9.713,1.335,3.375
9.715,1.251,2.761
9.717,1.182,2.629
9.72,1.234,2.879
9.722,1.292,3.16
9.722,1.375,3.584
9.722,1.243,2.922
9.723,1.334,3.375
9.723,1.235,2.842
9.723,1.216,2.743
9.723,1.159,2.49
9.727,1.183,2.662
9.73,1.076,2.244
9.735,1.129,2.431
9.737,1.298,3.177
9.737,1.257,2.825
9.742,1.214,2.77
9.742,1.205,2.747
9.745,1.294,3.215
9.748,1.246,2.871
9.749,1.313,3.266
9.759,1.172,2.588
9.761,1.286,3.118
9.762,1.153,2.521
9.764,1.158,2.447
9.768,1.169,2.559
9.768,1.353,3.497
9.769,1.257,2.835
9.77,1.245,2.883
9.77,1.249,2.534
9.771,1.257,2.934
9.771,1.24,2.878
9.771,1.189,2.662
9.775,1.241,2.834
9.777,1.138,2.357
9.777,1.304,3.17
9.787,1.145,2.462
9.787,1.148,2.485
9.789,1.201,2.724
9.789,1.314,2.768
9.79,1.145,2.506
9.79,1.304,3.234
9.793,1.222,2.79
9.794,1.287,3.105
9.797,1.648,2.943
9.798,1.208,2.692
9.8,1.175,2.625
9.8,1.352,3.521
9.8,1.147,2.511
9.801,1.258,2.923
9.803,1.251,2.937
9.803,1.366,2.702
9.804,1.673,2.946
9.805,1.177,2.626
9.806,1.187,2.637
9.807,1.184,2.667
9.812,1.337,2.636
9.813,1.309,3.189
9.813,1.191,2.683
9.815,1.323,3.314
9.819,1.204,2.581
9.824,1.199,2.692
9.825,1.351,2.742
9.825,1.222,2.715
9.825,1.184,2.64
9.83,1.131,2.43
9.832,1.205,2.727
9.832,1.161,2.559
9.832,1.204,2.581
9.838,1.41,3.904
9.84,1.167,2.572
9.841,1.72,2.961
9.841,1.16,2.561
9.843,1.44,2.966
9.845,1.238,2.874
9.845,1.204,2.722
9.847,1.103,2.333
9.847,1.163,2.572
9.847,1.229,2.76
9.849,1.17,2.6
9.853,1.238,2.891
9.853,3.062,0.931
9.855,1.162,2.564
9.855,1.354,2.71
9.855,1.321,3.296
9.857,1.194,2.683
9.858,1.458,4.35
9.859,1.232,2.865
9.86,1.288,3.123
9.861,1.184,2.653
9.864,1.204,2.732
9.864,1.234,2.854
9.867,1.278,3.128
9.872,1.323,3.347
9.873,1.267,2.822
9.873,1.164,2.567
9.874,1.191,2.665
9.874,1.171,2.61
9.875,1.673,2.946
9.876,1.128,2.425
9.879,1.363,2.639
9.881,1.207,2.728
9.883,1.174,2.59
9.884,1.318,3.311
9.891,1.237,2.912
9.893,1.273,3.031
9.895,1.338,3.399
9.896,1.317,3.274
9.897,1.218,2.772
9.898,1.331,3.359
9.899,1.35,3.46
9.9,1.162,2.556
9.9,1.189,2.66
9.901,1.137,2.45
9.905,1.347,3.484
9.906,1.329,3.339
9.907,1.254,2.953
9.91,1.242,2.889
9.91,1.219,2.781
9.911,1.31,3.253
9.913,1.313,3.265
9.914,1.195,2.694
9.915,1.229,2.853
9.919,1.127,2.41
9.919,1.305,3.219
9.919,1.219,2.79
9.924,1.162,2.561
9.924,1.687,3.533
9.924,1.252,2.591
9.925,1.189,2.679
9.926,1.15,2.511
9.929,1.675,2.764
9.93,1.288,2.756
9.934,1.232,2.864
9.94,1.247,2.898
9.941,1.227,2.776
9.944,1.205,2.724
9.946,1.23,2.833
9.949,1.19,2.664
9.95,1.237,2.888
9.952,1.142,2.485
9.953,1.804,2.676
9.953,1.607,2.658
9.956,1.222,2.773
9.957,1.201,2.699
9.958,1.207,2.711
9.959,1.162,2.54
9.959,1.2,2.708
9.96,1.319,3.203
9.96,1.202,2.726
9.968,1.181,2.635
9.969,1.164,2.565
9.97,1.193,2.699
9.971,1.174,2.587
9.972,1.298,3.191
9.972,1.224,2.791
9.973,1.18,2.62
9.974,1.237,2.885
9.975,1.295,2.985
9.976,1.202,2.706
9.976,1.227,2.808
9.976,1.144,2.484
9.978,1.283,3.126
9.98,1.686,2.968
9.982,1.257,2.755
9.984,1.22,2.77
9.987,1.181,2.576
9.989,1.178,2.611
9.99,1.218,2.777
9.99,1.401,3.619
9.99,1.244,2.903
9.992,1.312,3.255
9.992,1.174,2.616
9.994,1.251,2.938
9.995,1.346,3.426
9.996,1.137,2.512
9.997,1.236,2.842
10,1.366,3.591
10,1.308,3.21
10,1.183,2.645
10.001,1.193,2.69
10.001,1.342,3.222
10.002,1.687,3.533
10.006,1.233,2.795
10.007,1.159,2.553
10.008,1.257,2.798
10.009,1.335,3.334
10.01,1.167,2.567
10.01,1.206,2.728
10.01,1.232,2.871
10.011,1.251,2.902
10.012,1.256,2.858
10.012,1.147,2.511
10.014,1.287,3.106
10.014,1.565,2.776
10.014,1.176,2.615
10.015,1.227,2.67
10.015,1.211,2.783
10.015,1.172,2.569
10.019,1.21,2.749
10.02,1.182,2.619
10.021,1.204,2.722
10.023,1.197,2.681
10.024,1.331,3.075
10.024,1.195,2.681
10.025,1.37,2.848
10.025,1.252,2.945
10.026,1.228,2.811
10.029,1.203,2.708
10.029,1.299,2.761
10.03,1.18,2.626
10.031,1.208,2.75
10.033,1.256,2.972
10.035,1.243,2.849
10.036,1.388,3.708
10.037,1.483,2.311
10.039,1.19,2.689
10.039,1.214,2.765
10.041,1.218,2.715
10.041,1.211,2.716
10.043,1.241,2.825
10.043,1.187,2.668
10.046,1.245,2.877
10.046,1.218,2.831
10.046,1.366,3.424
10.046,1.298,3.18
10.046,1.207,2.754
10.047,1.128,2.434
10.048,1.33,2.781
10.048,1.227,2.837
10.048,1.15,2.516
10.048,1.402,3.798
10.049,1.171,2.6
10.05,1.221,2.788
10.052,1.184,2.634
10.052,1.215,2.771
10.052,1.234,2.873
10.053,1.17,2.62
10.056,1.19,2.692
10.056,1.235,2.81
10.056,1.207,2.74
10.056,1.568,2.846
10.056,1.183,2.658
10.058,1.686,2.968
10.06,1.21,2.69
10.06,1.243,2.896
10.06,1.171,2.595
10.061,1.166,2.58
10.064,1.205,2.738
10.064,1.248,2.896
10.065,1.189,2.644
10.065,1.184,2.647
10.066,1.17,2.583
10.068,1.195,2.718
10.07,1.3,3.097
10.071,1.188,2.655
10.071,1.217,2.711
10.071,1.248,2.897
10.072,1.197,2.736
10.073,1.417,2.627
10.073,1.375,3.619
10.074,1.313,3.23
10.076,1.295,3.164
10.077,1.206,2.736
10.077,1.158,2.553
10.08,1.315,2.602
10.086,1.189,2.664
10.086,1.263,2.983
10.087,1.211,2.747
10.087,1.191,2.678
10.088,1.212,2.737
10.088,1.198,2.661
10.088,1.228,2.846
10.089,1.176,2.616
10.09,1.195,2.685
10.09,1.18,2.639
10.095,1.181,2.624
10.096,1.169,2.575
10.097,1.163,2.575
10.097,1.191,2.684
10.1,1.302,3.211
10.101,1.164,2.598
10.102,1.341,3.366
10.102,0.531,0.883
10.103,1.27,3.042
10.104,1.213,2.792
10.105,1.285,3.106
10.108,1.202,2.723
10.11,1.22,2.767
10.11,1.27,2.619
10.112,1.219,2.789
10.113,1.192,2.663
10.114,1.238,2.849
10.117,1.28,3.094
10.118,1.217,2.775
10.121,1.204,2.721
10.121,1.691,2.967
10.122,1.276,3.057
10.123,1.174,2.617
10.124,1.241,2.884
10.124,1.303,3.176
10.126,1.197,2.684
10.126,1.249,2.788
10.127,1.216,2.733
10.127,1.214,2.767
10.128,1.198,2.718
10.13,1.212,2.784
10.13,1.159,2.546
10.131,1.185,2.542
10.131,1.231,2.796
10.132,1.247,2.912
10.134,1.177,2.582
10.134,1.159,2.555
10.136,1.212,2.77
10.137,1.274,3.063
10.14,1.131,2.434
10.14,1.352,3.525
10.14,1.197,2.689
10.141,1.209,2.746
10.141,1.393,3.654
10.143,1.786,2.786
10.143,1.242,2.808
