M_G,G-RP,BP-RP
7.003,1.017,2.024
7.018,1.109,2.354
7.02,0.849,1.598
7.022,1.014,2.036
7.04,1.085,2.207
7.066,1.126,2.406
7.07,1.076,2.201
7.071,0.678,1.221
7.082,0.93,1.805
7.083,1.126,2.412
7.089,1.078,2.248
7.106,1.028,2.081
7.107,1.038,2.119
7.115,1.075,2.223
7.124,0.996,1.992
7.126,0.841,1.57
7.132,0.889,1.656
7.133,1.133,2.375
7.135,1.225,2.446
7.136,1.096,2.043
7.154,1.557,2.251
7.155,1.832,1.902
7.159,0.836,1.577
7.161,0.881,1.462
7.164,1.027,2.077
7.167,1.049,1.987
7.176,0.91,1.744
7.199,1.061,2.189
7.2,1.217,2.538
7.213,0.841,1.561
7.217,1.182,2.653
7.219,1.099,2.321
7.224,1.044,2.12
7.242,1.096,2.299
7.252,0.844,1.597
7.257,1.046,2.144
7.266,1.025,2.075
7.271,0.955,1.876
7.28,1.097,2.285
7.285,1.007,2.022
7.286,1.062,2.195
7.286,1.037,1.94
7.297,0.998,2.01
7.3,0.904,1.7
7.3,1.141,2.465
7.304,0.815,1.529
7.305,1.329,3.32
7.324,0.841,1.595
7.333,1.084,2.182
7.341,1.134,2.424
7.342,1.073,2.235
7.347,0.996,1.967
7.348,1.045,2.116
7.353,0.98,1.942
7.362,1.077,2.245
7.365,0.86,0.864
7.365,1.079,2.122
7.368,0.87,1.664
7.407,0.982,1.957
7.411,0.955,1.884
7.411,0.867,1.653
7.42,0.988,1.967
7.432,1.025,2.063
7.439,0.854,1.623
7.44,1.12,2.348
7.441,1.043,2.127
7.447,0.97,1.911
7.448,1.066,2.11
7.454,0.838,1.583
7.465,0.998,2.004
7.468,1.087,2.276
7.468,0.927,1.801
7.483,0.976,1.787
7.489,1.152,2.44
7.494,1.02,1.991
7.5,1.089,1.897
7.502,1.041,2.042
7.506,0.917,1.781
7.509,1.061,2.187
7.51,1.089,2.28
7.519,1.079,2.143
7.525,1.008,2.024
7.525,1.017,2.056
7.526,1.008,2.025
7.529,1.093,2.068
7.536,1.037,2.056
7.543,1.087,2.342
7.545,1.063,2.169
7.548,0.876,1.679
7.55,1.128,2.413
7.553,1.101,2.322
7.558,1.088,2.15
7.559,1.223,2.417
7.562,1.01,2.044
7.563,1.016,2.06
7.564,1.02,2.072
7.565,0.899,1.74
7.566,1.262,2.203
7.566,1.037,2.118
7.572,0.878,1.679
7.575,1.065,2.209
7.575,1.114,2.364
7.579,0.907,1.766
7.582,1.118,2.372
7.585,0.961,1.901
7.589,0.962,1.907
7.599,1.026,2.072
7.599,0.874,1.649
7.602,1.104,2.311
7.606,0.993,1.989
7.606,1.02,2.052
7.61,1.02,2.036
7.611,1.009,1.965
7.629,1.126,2.343
7.629,1.411,2.785
7.645,1.062,2.172
7.645,1.168,2.289
7.646,0.944,1.853
7.649,0.881,1.695
7.652,0.842,1.576
7.653,0.953,1.871
7.656,1.108,2.36
7.658,0.857,1.615
7.658,1.125,2.421
7.66,1.044,2.139
7.662,0.886,1.712
7.662,1.139,2.485
7.662,1.106,2.361
7.664,1.01,2.03
7.675,1.033,2.1
7.677,0.89,1.717
7.681,1.069,2.228
7.684,1.066,2.196
