M_G,G-RP,BP-RP
13.001,1.464,3.673
13.094,1.532,3.647
13.105,1.135,2.499
13.134,0.513,0.91
13.14,1.459,3.143
13.149,1.451,3.325
13.164,1.583,3.612
13.171,1.583,2.691
13.179,1.458,3.212
13.183,1.494,3.427
13.193,1.479,4.141
13.197,1.669,4.013
13.21,1.52,3.339
13.21,1.486,3.875
13.225,1.462,2.998
13.229,1.438,3.45
13.233,1.56,3.243
13.235,1.48,3.138
13.241,1.577,3.542
13.245,1.461,3.464
13.252,1.46,3.471
13.252,1.487,3.05
13.255,1.468,2.872
13.259,1.446,3.13
13.26,1.54,4.7
13.263,1.479,3.362
13.271,1.472,3.616
13.281,1.584,4.193
13.296,1.438,2.997
13.309,1.537,3.695
13.313,1.441,3.25
13.321,1.48,3.536
13.331,1.457,3.261
13.334,1.439,3.476
13.335,1.439,3.103
13.339,1.503,3.992
13.34,1.422,3.316
13.351,1.463,4.088
13.368,1.546,3.587
13.376,1.463,3.362
13.381,1.462,2.957
13.384,1.459,2.905
13.392,1.105,1.535
13.395,1.481,3.25
13.4,1.509,3.665
13.4,1.479,3.334
13.401,1.691,3.851
13.408,1.492,3.352
13.413,1.419,3.777
13.413,1.604,3.159
13.435,1.567,3.237
13.438,1.581,3.52
13.439,1.405,3.09
13.443,1.536,3.519
13.448,1.562,2.833
13.45,1.49,3.006
13.451,1.49,3.051
13.452,1.462,2.734
13.455,1.495,3.967
13.459,1.637,3.003
13.463,1.709,3.992
13.465,1.416,2.902
13.469,1.367,3.081
13.474,1.422,2.585
13.477,1.608,3.084
13.481,1.491,3.142
13.481,1.461,3.395
13.483,1.405,3.028
13.493,1.489,3.962
13.5,1.542,4.142
13.501,1.399,3.407
13.501,1.575,3.306
13.508,1.406,3.537
13.51,1.508,4.112
13.512,1.475,3.037
13.512,1.589,3.719
13.516,1.576,4.182
13.517,1.155,2.5
13.517,1.421,2.706
13.523,1.512,3.502
13.527,1.594,4.081
13.528,1.564,3.108
13.528,1.494,3.045
13.529,1.501,3.863
13.529,1.485,3.018
13.53,1.469,2.997
13.532,1.506,3.633
13.539,1.54,3.486
13.541,1.442,3.168
13.541,1.388,2.766
13.549,1.485,3.192
13.55,1.424,3.055
13.554,1.491,3.244
13.557,1.401,2.55
13.561,1.442,3.096
13.563,1.513,3.392
13.566,1.404,3.137
13.566,1.421,2.178
13.568,1.488,4.16
13.576,1.445,3.744
13.576,1.488,3.378
13.58,1.436,2.555
13.582,1.549,2.8
13.584,1.616,2.936
13.587,0.996,1.989
13.588,1.563,3.853
13.589,1.57,4.053
13.598,1.578,4.529
13.602,1.566,3.033
13.604,1.479,2.858
13.604,1.461,3.128
13.607,1.47,3.019
13.607,1.497,3.931
13.608,1.507,3.122
13.608,1.446,3.02
13.609,1.456,2.853
13.611,1.452,2.619
13.617,1.457,2.735
13.619,1.483,2.566
13.62,1.595,3.362
13.623,1.639,3.002
13.623,1.482,2.515
13.626,1.477,3.185
13.636,1.49,3.597
13.636,1.616,3.817
13.637,1.433,2.745
13.639,1.466,3.104
13.643,1.426,3.124
13.651,1.682,3.155
13.653,1.597,3.8
13.655,1.458,2.367
13.658,0.971,1.887
13.66,1.528,2.622
13.661,1.416,3.089
13.663,1.523,3.647
13.663,1.496,3.24
13.667,1.472,3.242
13.671,1.513,2.926
13.672,1.395,2.771
13.674,1.602,3.51
13.674,1.534,3.293
13.674,1.573,3.394
13.674,1.531,3.31
13.677,1.453,3.233
13.68,1.359,2.709
13.685,1.386,2.954
13.685,1.427,3.344
13.686,1.482,3.107
13.686,1.402,2.78
13.691,1.459,3.026
13.692,1.577,3.433
13.693,1.451,2.968
13.694,1.479,2.48
13.695,1.523,3.275
13.695,1.503,2.523
13.698,1.408,3.894
13.699,1.421,2.574
13.701,1.436,3.073
13.703,1.556,3.469
13.705,1.499,3.368
13.709,1.42,3.533
13.71,1.492,3.398
13.714,1.433,3.151
13.716,1.434,3.055
13.717,1.518,3.44
13.718,1.397,3.124
13.72,1.528,3.366
13.723,1.514,2.934
13.724,1.44,3.066
13.728,1.503,3.681
13.734,1.5,3.46
13.736,1.459,3.058
13.739,1.472,3.377
13.741,1.421,2.804
13.742,1.424,3.43
13.742,1.45,2.799
13.743,1.401,1.762
13.744,1.5,3.904
13.746,1.57,3.574
13.75,1.446,3.081
13.75,1.498,3.257
13.751,1.571,3.087
13.754,1.456,3.006
13.759,1.504,3.105
13.759,1.459,3.111
13.759,1.438,3.017
13.76,1.492,2.785
13.761,1.443,2.469
13.762,1.452,3.089
13.763,1.57,3.148
13.763,1.417,2.615
13.766,1.429,2.69
13.766,1.484,3.419
13.767,1.468,3.299
13.771,1.531,3.994
13.773,1.521,2.861
13.776,1.411,3.78
13.776,1.53,4.348
13.777,1.543,4.322
13.779,1.47,3.449
13.785,1.516,3.202
13.785,1.461,4.278
13.785,1.467,3.568
13.786,1.513,2.332
13.79,1.47,2.697
13.79,1.507,2.667
13.792,1.408,2.375
13.792,1.47,3.33
13.792,1.447,3.186
13.794,1.456,2.599
13.797,1.391,2.939
13.798,1.447,2.867
13.798,1.663,3.782
13.799,1.588,2.544
13.801,1.548,3.435
13.801,1.787,4.111
