M_G,G-RP,BP-RP
12.015,1.433,3.647
12.07,1.412,3.084
12.074,1.41,3.499
12.077,1.403,3.768
12.108,1.477,4.008
12.109,1.61,4.783
12.12,1.365,3.184
12.15,1.011,1.414
12.158,1.372,3.557
12.164,1.442,3.757
12.168,1.488,3.878
12.179,0.816,1.556
12.185,1.647,4.92
12.189,1.375,3.227
12.196,1.47,3.388
12.2,0.958,1.877
12.2,1.52,4.354
12.206,1.593,3.775
12.213,1.378,3.636
12.224,0.54,0.926
12.23,1.41,3.53
12.231,1.362,3.565
12.29,1.361,3.459
12.293,1.399,3.534
12.304,1.422,3.56
12.307,1.428,3.834
12.309,1.412,3.65
12.313,1.639,4.27
12.322,1.391,3.662
12.323,1.523,3.589
12.323,1.373,3.283
12.332,1.672,3.932
12.337,1.358,3.517
12.34,1.391,3.648
12.34,1.344,3.337
12.34,1.405,3.571
12.342,1.364,3.349
12.345,1.474,3.566
12.354,1.372,3.537
12.356,1.433,3.539
12.356,1.418,3.69
12.367,1.375,3.327
12.37,1.351,3.249
12.371,1.426,3.775
12.375,1.588,3.679
12.384,1.416,3.658
12.392,1.378,3.294
12.394,1.487,4.245
12.4,1.604,3.924
12.403,1.523,4.331
12.406,1.388,3.328
12.41,1.41,3.592
12.414,1.407,3.617
12.417,1.361,3.649
12.418,1.407,3.609
12.428,1.821,3.474
12.429,1.473,3.587
12.435,1.387,3.688
12.437,1.417,3.623
12.445,0.945,1.992
12.452,1.393,3.391
12.457,1.427,3.78
12.459,1.399,3.775
12.461,1.43,3.606
12.463,1.391,3.29
12.469,1.442,3.67
12.479,1.529,4.18
12.48,0.591,1.044
12.482,1.407,3.659
12.484,1.409,3.716
12.484,1.432,3.774
12.484,1.388,3.666
12.49,1.377,3.642
12.497,1.374,3.31
12.499,1.398,3.54
12.5,1.465,3.632
12.504,1.429,3.833
12.504,1.517,3.992
12.509,1.413,3.711
12.509,1.396,3.575
12.519,1.363,3.449
12.522,1.441,3.558
12.526,1.4,3.777
12.529,1.508,3.606
12.53,1.399,3.453
12.53,1.42,3.427
12.533,1.381,3.68
12.534,1.364,3.619
12.535,1.426,3.639
12.535,1.374,3.308
12.537,1.367,3.288
12.538,1.464,3.648
12.542,1.393,3.518
12.549,1.421,3.657
12.555,1.411,3.385
12.559,1.388,3.411
12.561,1.392,3.537
12.562,1.42,3.407
12.565,1.375,3.136
12.566,1.42,3.755
12.566,0.752,1.514
12.57,1.395,3.561
12.57,1.35,3.296
12.57,1.417,3.534
12.576,1.608,4.158
12.579,1.46,3.016
12.581,1.385,3.669
12.587,1.37,3.229
12.59,1.407,3.694
12.591,1.548,4.335
12.594,1.428,3.437
12.595,1.453,3.384
12.598,1.426,3.653
12.601,1.398,3.594
12.602,1.419,3.303
12.602,1.408,3.32
12.604,1.375,3.55
12.604,1.472,3.997
12.605,1.369,3.523
12.607,1.454,3.673
12.608,1.368,3.392
12.608,1.453,3.202
12.613,1.38,3.45
12.62,1.526,3.919
12.621,1.417,3.695
12.622,1.621,3.737
12.622,1.433,3.748
12.631,1.465,3.778
12.631,1.492,3.641
12.634,1.453,3.646
12.634,1.524,3.46
12.637,1.42,3.519
12.638,1.354,3.282
12.64,1.363,3.402
12.643,1.371,3.446
12.644,1.393,3.428
12.651,1.359,3.176
12.653,1.419,3.658
12.659,1.401,3.514
12.662,1.382,3.214
12.663,1.387,3.748
12.666,1.392,3.438
12.668,1.442,3.493
12.671,1.373,3.604
12.672,1.295,3.117
12.675,1.444,3.578
12.675,1.431,3.562
12.676,1.423,3.624
12.678,1.373,3.415
12.679,1.425,3.584
12.681,1.475,4.03
12.684,1.584,3.874
12.684,1.478,4.189
12.685,1.436,3.803
12.685,1.572,4.07
12.688,0.799,1.483
12.688,1.419,3.56
12.688,1.394,3.819
12.698,1.356,3.259
12.7,1.422,3.55
12.706,1.442,3.859
12.706,1.551,3.461
12.706,1.402,3.891
12.707,1.439,3.931
12.708,1.401,3.725
12.71,1.343,3.284
12.711,1.404,3.275
12.717,1.4,3.499
12.72,1.387,3.293
12.721,1.344,3.351
12.727,1.421,3.643
12.727,1.377,3.305
12.729,1.388,3.508
12.729,1.411,3.493
12.731,1.405,3.407
12.731,1.394,3.811
12.731,1.426,3.862
12.732,1.358,3.374
12.733,1.42,3.526
12.733,1.359,3.372
12.734,1.383,3.471
12.737,1.407,3.553
12.741,1.447,3.827
12.742,1.344,3.251
12.746,1.406,3.293
12.746,1.469,3.83
12.748,1.405,3.393
12.749,1.423,3.372
12.749,1.444,3.436
12.751,1.395,3.82
12.751,1.37,3.043
12.751,1.351,3.454
12.752,1.319,3.248
12.754,1.373,3.318
12.755,1.415,3.814
12.755,1.403,3.201
12.756,1.356,3.362
12.757,1.362,3.071
12.764,1.603,4.177
12.764,1.517,3.841
12.766,1.401,3.103
12.766,1.386,3.516
12.767,1.437,3.687
12.768,1.448,3.466
12.779,1.524,4.061
12.781,1.491,4.135
12.781,1.43,3.45
12.783,1.371,3.398
12.785,1.381,3.836
12.786,1.462,3.762
12.786,1.401,3.218
12.787,1.431,3.721
12.787,1.41,3.348
12.788,1.425,3.236
12.791,1.462,3.726
12.792,1.401,3.367
12.792,1.512,4.024
12.793,1.44,3.653
12.794,1.383,3.062
12.799,1.4,3.383
12.799,1.432,3.427
12.802,1.435,3.839
12.809,1.363,3.1
12.809,1.384,3.387
12.81,1.43,3.692
12.812,1.44,3.884
12.812,1.437,3.086
12.814,1.435,4.001
12.815,1.414,3.342
12.815,1.465,3.371
12.816,1.427,3.477
12.817,1.351,3.171
12.817,1.437,3.934
12.82,1.436,3.778
12.821,1.498,4.094
12.822,1.372,2.988
12.823,1.385,3.485
12.823,1.365,3.067
12.825,1.399,3.34
12.825,1.463,3.481
12.826,1.365,3.218
12.828,1.344,2.809
12.829,1.445,3.734
12.829,1.528,3.483
12.829,1.481,3.699
12.831,1.448,3.689
12.833,1.411,3.633
12.833,1.436,3.891
12.834,1.377,3.491
12.834,1.431,3.542
12.836,1.364,3.165
12.836,1.397,3.327
12.837,1.434,3.87
12.84,1.312,2.994
12.841,1.445,3.449
12.842,1.415,3.591
12.843,1.431,3.813
12.846,1.438,3.707
12.847,1.407,3.189
12.847,1.435,3.384
12.847,1.455,3.472
12.848,1.378,3.383
12.848,1.412,3.244
12.85,1.408,3.3
12.851,1.385,3.098
12.853,1.375,2.987
12.854,1.399,3.312
12.856,1.396,3.695
12.857,1.434,3.337
12.859,1.406,3.456
12.86,1.401,2.74
12.863,1.395,3.326
12.864,1.461,3.89
12.865,1.352,2.821
12.865,1.353,3.119
12.866,1.432,3.586
12.868,1.43,3.344
12.872,1.403,3.389
12.872,1.524,3.625
12.873,1.387,3.717
12.873,1.395,3.145
12.873,1.381,3.318
12.878,1.417,3.61
12.879,1.387,2.982
12.88,1.506,3.2
12.881,1.414,3.335
12.881,1.426,3.184
12.881,1.352,3.288
12.881,1.401,3.623
12.882,1.392,3.644
12.882,1.359,3.182
12.883,1.357,3.429
12.883,1.384,3.385
12.884,1.46,3.621
12.885,1.359,3.409
12.887,1.41,3.608
12.888,1.443,3.447
12.888,1.405,3.372
12.89,1.403,3.493
12.892,1.427,3.316
12.893,1.447,3.739
12.894,1.698,3.605
12.895,1.364,3.598
12.897,1.383,3.558
12.899,1.379,3.149
12.899,1.468,3.683
12.901,1.398,3.388
12.902,1.361,3.555
12.903,1.454,3.682
12.904,1.447,3.541
12.905,1.432,3.703
12.907,1.498,3.808
12.907,1.379,3.187
12.907,1.414,3.527
12.908,1.39,3.448
12.909,1.671,3.732
12.91,1.397,3.589
12.91,1.49,3.969
12.91,1.379,3.124
12.911,1.379,3.236
12.911,1.526,4.051
12.912,1.415,3.231
12.913,1.356,3.035
12.914,1.43,3.71
12.915,1.396,3.488
12.915,1.457,3.943
12.917,1.36,3.493
12.918,1.421,3.321
12.918,1.375,3.431
12.919,1.443,3.842
12.92,1.382,3.231
12.921,1.352,2.931
12.922,1.433,3.409
12.922,1.403,3.651
12.923,1.397,3.243
12.923,1.401,3.234
12.924,1.44,3.797
12.925,1.446,3.924
12.926,1.382,3.582
12.927,1.367,3.328
12.928,1.369,3.378
12.929,1.475,3.929
12.93,1.573,3.361
12.931,1.371,3.583
12.931,1.363,3.018
12.933,1.438,3.75
12.935,1.462,3.339
12.936,1.599,3.999
12.938,1.431,3.952
12.939,1.384,3.43
12.941,1.406,3.124
12.942,1.391,3.588
12.943,1.372,3.145
12.943,1.369,3.794
12.944,1.368,3.105
12.945,1.496,3.711
12.945,1.427,3.189
12.946,1.373,3.489
12.946,1.34,3.142
12.948,1.393,3.81
12.95,1.356,2.868
12.951,1.392,3.189
12.952,1.396,3.463
12.952,1.484,3.859
12.953,1.401,3.114
12.955,0.815,0.838
12.955,1.458,3.704
12.955,1.368,3.273
12.955,1.459,3.246
12.955,1.476,3.585
12.956,1.373,2.946
12.957,1.489,3.277
12.957,1.445,3.496
12.959,1.394,3.491
12.963,1.393,3.414
12.965,1.383,3.37
12.967,1.458,3.486
12.968,1.459,3.533
12.97,1.396,3.179
12.972,1.379,3.283
12.973,1.37,3.528
12.974,1.432,3.542
12.974,1.388,3.666
12.976,1.38,3.214
12.977,1.412,3.638
12.977,1.379,3.181
12.977,1.418,3.03
12.978,1.449,3.736
12.978,1.368,3.301
12.979,1.446,3.352
12.981,1.374,3.252
12.981,1.406,3.691
12.982,1.322,2.984
12.984,1.429,3.206
12.985,1.383,3.134
12.986,1.581,3.733
12.987,1.401,3.55
12.987,1.409,3.257
12.987,1.353,3.27
12.988,1.591,3.388
12.988,1.37,3.577
12.988,1.384,3.363
12.989,1.424,3.354
12.99,1.385,3.322
12.99,1.361,3.399
12.991,1.41,3.201
12.991,1.355,3.461
12.991,1.396,3.647
12.991,1.499,3.187
12.993,1.377,3.693
12.993,1.413,3.543
12.994,1.355,3.479
12.995,1.42,3.49
12.996,1.365,3.051
12.999,1.368,3.269
12.999,1.39,3.448
12.999,1.333,3.052
13,1.41,3.365
13,1.466,3.953
13.001,1.397,3.318
13.006,1.356,3.385
13.006,1.412,3.441
13.009,1.369,3.295
13.009,1.422,3.039
13.011,1.388,3.25
13.011,1.56,3.886
13.011,1.43,3.339
13.012,1.423,2.968
13.012,1.422,3.303
13.013,1.442,3.733
13.013,1.364,2.972
13.013,1.375,2.946
13.015,1.394,3.704
13.018,1.398,3.391
13.018,1.4,3.399
13.018,1.38,3.059
13.019,1.33,2.902
13.019,1.36,3.472
13.019,1.391,3.449
13.019,1.403,3.17
13.02,1.395,3.152
13.02,1.386,3.473
13.02,1.421,3.441
13.021,1.343,3.509
13.021,1.388,2.96
13.024,1.415,3.576
13.025,1.397,3.342
13.025,1.404,3.547
13.025,1.434,3.285
13.026,1.387,2.771
13.028,1.397,3.46
13.029,1.381,3.06
13.031,1.36,3.364
13.032,1.389,3.619
13.034,1.404,3.612
13.034,1.376,3.304
13.034,1.384,3.37
13.034,1.359,2.953
13.034,1.379,2.981
13.034,1.404,3.495
13.036,1.387,3.203
13.036,1.393,3.56
13.036,1.443,4.04
13.036,1.36,3.174
13.037,1.402,3.728
13.039,1.444,3.181
13.04,1.423,3.285
13.042,1.333,3.118
13.042,1.411,3.605
13.042,1.386,2.91
13.043,1.383,3.38
13.044,1.419,3.299
13.045,1.453,3.96
13.046,1.392,3.3
13.046,1.406,3.303
13.046,1.559,3.666
13.05,1.372,3.102
13.05,1.403,3.11
13.05,1.477,3.945
13.051,1.359,3.437
13.051,1.406,3.485
13.052,1.306,3.101
13.052,1.412,3.41
13.052,1.523,3.66
13.053,1.378,3.698
13.053,1.429,3.633
13.054,1.385,3.468
13.054,1.466,3.822
13.054,1.409,3.371
13.054,1.356,2.953
13.054,1.412,3.866
13.056,1.385,3.275
13.057,1.402,3.558
13.059,1.391,3.477
13.059,1.471,3.052
13.06,1.349,3.542
13.06,1.497,3.551
13.061,1.366,3.374
13.061,1.428,3.522
13.061,1.426,3.679
13.062,1.403,3.503
13.063,1.362,3.111
13.064,1.387,3.342
13.064,1.377,3.004
13.064,1.404,3.082
13.065,1.493,4.084
13.065,1.384,3.228
13.067,1.408,3.205
13.067,1.419,3.663
13.068,1.409,3.222
13.068,1.4,3.589
13.069,1.363,3.004
13.069,1.342,2.899
13.07,1.369,3.429
13.07,1.425,3.063
13.071,1.379,3.092
13.073,1.4,3.259
13.074,1.428,3.139
13.075,1.379,3.216
13.077,1.404,3.691
13.078,1.397,2.95
13.078,1.416,3.867
13.078,1.385,3.636
13.078,1.557,4.038
13.078,1.369,3.264
13.079,1.36,3.302
13.079,1.505,3.267
13.079,1.397,3.13
13.08,1.405,3.606
13.081,1.386,3.476
13.081,1.362,2.836
13.081,1.444,3.867
13.081,1.414,3.424
13.081,1.477,3.497
13.082,1.385,2.987
13.084,1.42,3.714
13.086,1.357,3.377
