M_G,G-RP,BP-RP
10.002,1.553,4.215
10.017,1.358,2.661
10.018,1.095,2.316
10.037,1.163,2.563
10.041,1.503,3.885
10.06,1.388,3.613
10.09,1.437,4.094
10.091,1.201,2.733
10.117,1.38,3.648
10.13,1.193,2.687
10.14,1.4,3.725
10.176,1.143,2.483
10.184,1.292,3.059
10.248,1.471,4.3
10.269,1.513,4.163
10.292,1.293,3.156
10.322,1.436,4.005
10.338,1.462,4.175
10.364,1.484,4.221
10.369,1.321,3.064
10.37,1.405,3.747
10.378,1.321,3.064
10.378,1.416,3.487
10.403,1.411,3.822
10.436,1.206,2.754
10.452,0.534,0.806
10.493,1.397,3.452
10.51,1.423,3.867
10.516,1.317,3.18
10.517,1.352,3.478
10.522,1.19,2.675
10.525,1.317,3.18
10.536,1.396,3.446
10.548,1.451,3.899
10.55,1.396,3.755
10.594,1.405,3.8
10.606,1.319,3.295
10.63,1.261,2.99
10.632,1.433,3.845
10.642,0.723,1.281
10.646,1.478,4.401
10.664,1.406,3.76
10.7,1.421,3.9
10.707,1.2,2.723
10.733,1.383,3.717
10.746,1.498,4.194
10.756,1.31,3.18
10.785,1.46,4.064
10.788,1.429,3.812
10.798,1.526,4.475
10.814,1.406,3.704
10.817,1.452,4.105
10.823,1.325,3.222
10.83,1.464,4.137
10.842,1.508,2.771
10.842,1.468,3.648
10.843,1.473,4.202
10.848,1.304,3.204
10.852,1.268,3.064
10.864,1.432,3.996
10.866,1.477,3.286
10.869,1.477,4.374
10.877,1.445,3.244
10.881,1.407,3.79
10.893,1.523,4.791
10.896,1.445,4.046
10.904,0.614,0.488
10.915,1.196,2.711
10.923,1.447,3.855
10.929,1.597,5.233
10.939,1.444,4.033
10.96,1.419,3.71
10.965,1.439,3.967
11.029,1.394,3.403
11.038,1.502,4.256
11.069,1.522,4.857
11.078,1.567,3.826
11.082,1.438,3.898
11.096,1.504,4.294
11.097,1.667,3.224
11.117,0.901,1.704
11.127,1.435,3.845
11.128,1.481,4.354
11.133,1.41,3.814
11.141,1.426,3.827
11.149,1.517,4.29
11.171,1.251,2.965
11.173,1.248,2.923
11.196,1.367,3.532
11.208,1.438,3.828
11.233,1.496,3.74
11.245,1.362,3.322
11.248,1.395,3.736
11.253,1.421,3.172
11.258,1.432,4.041
11.261,1.501,4.319
11.273,1.572,4.636
11.28,1.283,3.166
11.285,1.522,4.791
11.292,1.524,4.18
11.302,1.358,3.393
11.306,1.407,3.862
11.311,1.404,3.66
11.322,1.392,3.561
11.323,1.488,4.258
11.324,1.395,3.567
11.327,1.302,3.207
11.343,1.364,3.353
11.35,1.344,3.319
11.355,0.583,0.841
11.375,1.378,3.536
11.378,1.355,3.539
11.386,1.355,3.335
11.39,1.325,3.398
11.392,1.443,4.055
11.409,1.388,3.672
11.43,1.438,3.961
11.431,1.476,4.015
11.444,1.452,3.99
11.463,1.434,4.018
11.464,1.31,2.294
11.472,1.613,4.811
11.478,1.517,4.072
11.481,1.449,4.117
11.489,1.205,2.782
11.493,1.487,4.152
11.494,1.444,3.855
11.503,1.335,3.379
11.508,1.308,3.303
11.514,1.348,3.329
11.519,1.493,4.201
11.523,1.313,3.308
11.524,1.253,2.969
11.531,1.378,3.468
11.538,1.37,3.217
11.555,1.468,4.226
11.558,1.412,3.689
11.56,1.409,3.88
11.561,1.332,3.292
11.566,1.264,2.913
11.57,1.44,3.84
11.577,1.41,3.652
11.585,6.578,4.884
11.602,1.436,4.052
11.606,1.456,4.024
11.61,1.354,3.452
11.613,1.468,4.104
11.626,1.412,3.846
11.628,1.373,3.471
11.628,1.263,3.03
11.63,1.337,3.316
11.63,1.339,3.325
11.634,1.555,4.682
