SpT,Teff,logT,logL,Mbol,BCv,Mv,B-V,Bt-Vt,G-V,Bp-Rp,G-Rp,M_G,b-y,U-B,V-Rc,V-Ic,V-Ks,J-H,H-Ks,Ks-W1,W1-W2,W1-W3,W1-W4,M_J,M_Ks,g-r,i-z,z-Y,R_Rsun,Msun
K8V,3990,3.601,-1.060,7.400,-1.030,8.430,1.363,1.562,-0.625,1.730,0.880,7.740,,1.216,0.843,1.632,3.480,0.626,0.171,0.115,,,,5.750,4.950,1.290,,,0.615,0.620
K9V,3930,3.594,-1.100,7.490,-1.070,8.560,1.400,1.593,-0.660,1.790,0.900,8.030,,1.210,0.866,1.699,3.550,0.631,0.180,0.117,,,,5.820,5.010,1.320,,,0.608,0.590
M0V,3850,3.585,-1.160,7.650,-1.150,8.800,1.420,1.623,-0.700,1.840,0.920,8.160,,1.204,0.889,1.766,3.650,0.627,0.190,0.120,,,,5.970,5.150,,0.330,,0.588,0.570
M0.5V,3770,3.576,-1.270,7.910,-1.290,9.200,1.445,,-0.760,1.970,0.970,8.440,,1.184,0.924,1.886,3.840,0.620,0.208,0.125,,,,6.190,5.360,,0.370,,0.544,0.540
M1V,3660,3.563,-1.390,8.220,-1.420,9.640,1.485,,-0.820,2.090,1.000,8.820,,1.172,0.956,2.005,4.000,0.614,0.222,0.130,,,,6.480,5.640,,0.410,,0.501,0.500
M1.5V,3620,3.559,-1.440,8.350,-1.500,9.850,1.495,,-0.870,2.130,1.020,8.980,,1.170,0.978,2.089,4.100,0.608,0.227,0.135,,,,6.590,5.750,,0.470,,0.482,0.470
M2V,3560,3.551,-1.540,8.590,-1.620,10.210,1.505,,-0.925,2.230,1.060,9.290,,1.170,1.001,2.173,4.230,0.600,0.234,0.140,,,,6.810,5.980,,0.530,,0.446,0.440
M2.5V,3470,3.540,-1.640,8.820,-1.780,10.610,1.522,,-1.020,2.390,1.100,9.670,,1.175,1.041,2.306,4.430,0.589,0.244,0.145,,,,7.010,6.180,,0.570,,0.421,0.400
M3V,3430,3.535,-1.790,9.210,-1.930,11.150,1.530,,-1.100,2.500,1.130,10.050,,1.181,1.079,2.420,4.600,0.579,0.252,0.150,,,,7.380,6.550,,0.610,,0.361,0.370
M3.5V,3270,3.515,-2.030,9.820,-2.280,12.100,1.600,,-1.280,2.780,1.190,10.870,,1.200,1.178,2.680,5.000,0.558,0.269,0.170,,,,7.930,7.100,,0.660,,0.300,0.270
M4V,3210,3.507,-2.140,10.100,-2.510,12.610,1.650,,-1.400,2.940,1.240,11.210,,1.222,1.241,2.831,5.250,0.557,0.280,0.180,,,,8.200,7.360,,0.710,,0.274,0.230
M4.5V,3110,3.493,-2.400,10.740,-2.840,13.580,1.690,,-1.540,3.160,1.280,12.040,,1.230,1.345,3.073,5.650,0.564,0.301,0.200,,,,8.800,7.930,,0.810,,0.217,0.184
M5V,3060,3.486,-2.520,11.040,-3.110,14.150,1.830,,-1.700,3.350,1.330,12.450,,1.240,1.446,3.278,5.950,0.580,0.312,0.210,0.170,,,9.090,8.200,,0.910,0.470,0.196,0.162
M5.5V,2930,3.467,-2.790,11.720,-3.580,15.300,1.940,,-1.950,3.710,1.380,13.350,,1.300,1.656,3.664,6.500,0.588,0.329,0.220,0.190,,,9.720,8.800,,1.130,0.520,0.156,0.123
M6V,2810,3.449,-2.980,12.190,-4.130,16.320,2.010,,-2.370,4.160,1.430,14.260,,1.300,1.950,4.100,7.100,0.605,0.352,0.225,0.210,,,10.180,9.220,,1.450,0.600,0.137,0.102
M6.5V,2740,3.438,-3.100,12.480,-4.620,17.100,2.070,,-2.700,4.500,1.480,14.400,,,1.988,4.260,7.600,0.609,0.360,0.235,0.220,,,10.470,9.500,,1.580,0.640,0.126,0.093
M7V,2680,3.428,-3.190,12.710,-4.990,17.700,2.120,,-2.980,4.650,1.520,14.720,,,2.180,4.500,8.000,0.613,0.390,0.240,0.240,,,10.700,9.700,,1.770,0.700,0.120,0.090
M7.5V,2630,3.420,-3.240,12.840,-5.320,18.160,2.140,,-3.150,4.720,1.550,15.200,,,2.160,4.560,8.350,0.650,0.422,0.260,0.250,,,10.880,9.810,,1.850,0.740,0.116,0.088
M8V,2570,3.410,-3.280,12.950,-5.650,18.600,2.150,,-3.110,4.860,1.570,15.200,,,2.150,4.620,8.700,0.677,0.450,0.285,0.260,,,11.050,9.920,,1.930,0.770,0.114,0.085
M8.5V,2420,3.384,-3.470,13.420,-5.780,19.200,2.160,,-3.090,5.100,1.590,15.900,,,1.967,4.630,8.900,0.690,0.465,0.310,0.265,,,11.460,10.300,,1.960,0.800,0.104,0.080
M9V,2380,3.377,-3.520,13.540,-5.860,19.400,2.170,,-3.000,4.780,1.600,16.200,,,1.890,4.660,9.000,0.720,0.470,0.330,0.270,,,11.590,10.400,,1.990,0.820,0.102,0.079
M9.5V,2350,3.371,-3.570,13.670,-6.130,19.750,,,-3.100,4.860,1.610,16.400,,,2.510,4.730,9.300,0.745,0.500,0.350,0.270,,,11.750,10.500,,2.000,0.840,0.101,0.078
L0V,2270,3.356,-3.600,13.750,-6.250,20.000,,,-3.450,,1.680,16.600,,,,4.850,9.400,0.760,0.510,0.360,0.270,,,11.760,10.550,,2.010,0.860,0.102,0.077
L1V,2160,3.334,-3.710,14.020,-6.480,20.500,,,,,1.660,16.900,,,,4.910,9.650,0.820,0.540,0.370,0.280,,,12.120,10.770,,2.020,0.880,0.100,0.076
