Type,Teff,log g,M/Mo,Mbol,BC,U,B,V,R,I,2MASS_J,2MASS_H,2MASS_Ks,MKO_Y,MKO_J,MKO_H,MKO_K,W1,W2,W3,W4,S3.6,S4.5,S5.8,S8.0,SDSS_u,SDSS_g,SDSS_r,SDSS_i,SDSS_z,PS1_g,PS1_r,PS1_i,PS1_z,PS1_y,G2,G2_BP,G2_RP,G3,G3_BP,G3_RP,FUV,NUV,Age
DB,27000,8.5,0.918,8.297,-2.832,9.833,10.977,11.129,11.241,11.356,11.683,11.791,11.879,11.598,11.66,11.762,11.856,11.936,11.977,12.03,12.038,11.944,11.974,11.999,12.019,10.67,10.926,11.332,11.653,11.958,10.961,11.333,11.662,11.913,12.098,11.104,10.92,11.302,11.116,10.994,11.328,10.115,10.285,7.27E+07
DB,28000,8.5,0.919,8.138,-2.955,9.785,10.934,11.093,11.208,11.327,11.657,11.767,11.855,11.571,11.635,11.738,11.832,11.911,11.951,12.003,12.011,11.92,11.948,11.972,11.992,10.622,10.885,11.298,11.623,11.93,10.922,11.299,11.631,11.885,12.071,11.067,10.88,11.271,11.079,10.955,11.297,9.996,10.21,6.17E+07
DB,29000,8.5,0.919,7.984,-3.067,9.731,10.887,11.052,11.171,11.294,11.629,11.74,11.828,11.541,11.607,11.711,11.806,11.884,11.924,11.974,11.984,11.892,11.92,11.944,11.963,10.569,10.839,11.26,11.589,11.899,10.877,11.261,11.598,11.853,12.041,11.026,10.835,11.237,11.038,10.91,11.263,9.878,10.128,5.20E+07
DB,30000,8.5,0.92,7.836,-3.171,9.673,10.835,11.008,11.131,11.259,11.598,11.71,11.8,11.509,11.576,11.681,11.777,11.855,11.894,11.945,11.956,11.864,11.891,11.914,11.933,10.511,10.79,11.219,11.552,11.865,10.829,11.22,11.561,11.819,12.008,10.981,10.787,11.2,10.993,10.862,11.226,9.765,10.044,4.35E+07
DB,31000,8.5,0.921,7.693,-3.269,9.611,10.781,10.962,11.088,11.221,11.566,11.679,11.77,11.475,11.544,11.65,11.747,11.825,11.863,11.915,11.928,11.833,11.86,11.883,11.903,10.45,10.739,11.176,11.513,11.829,10.779,11.177,11.522,11.782,11.973,10.935,10.736,11.161,10.946,10.812,11.187,9.655,9.959,3.60E+07
DB,32000,8.5,0.922,7.554,-3.361,9.548,10.727,10.915,11.044,11.181,11.531,11.646,11.737,11.438,11.509,11.617,11.715,11.793,11.832,11.885,11.901,11.801,11.828,11.852,11.872,10.387,10.687,11.131,11.472,11.79,10.728,11.132,11.481,11.743,11.935,10.886,10.683,11.119,10.898,10.76,11.146,9.55,9.876,2.94E+07
DB,33000,8.5,0.923,7.419,-3.449,9.485,10.671,10.868,10.999,11.14,11.495,11.611,11.704,11.4,11.473,11.582,11.681,11.761,11.8,11.856,11.875,11.769,11.797,11.821,11.841,10.324,10.635,11.085,11.43,11.75,10.678,11.087,11.439,11.703,11.896,10.838,10.631,11.077,10.849,10.708,11.104,9.447,9.794,2.38E+07
DB,34000,8.5,0.924,7.288,-3.533,9.423,10.617,10.821,10.954,11.099,11.458,11.576,11.67,11.362,11.437,11.547,11.648,11.728,11.769,11.827,11.849,11.737,11.765,11.79,11.811,10.261,10.583,11.04,11.387,11.711,10.627,11.042,11.397,11.663,11.857,10.789,10.579,11.035,10.8,10.657,11.061,9.347,9.714,1.91E+07
DB,35000,8.5,0.925,7.161,-3.614,9.361,10.564,10.776,10.91,11.059,11.422,11.541,11.637,11.324,11.401,11.512,11.614,11.696,11.737,11.799,11.825,11.705,11.734,11.759,11.782,10.2,10.532,10.995,11.346,11.671,10.578,10.997,11.355,11.623,11.819,10.742,10.528,10.993,10.752,10.607,11.02,9.248,9.636,1.52E+07
DB,36000,8.5,0.926,7.038,-3.691,9.3,10.51,10.729,10.866,11.018,11.385,11.506,11.603,11.286,11.364,11.477,11.58,11.664,11.706,11.771,11.801,11.673,11.703,11.729,11.753,10.139,10.481,10.95,11.303,11.631,10.528,10.952,11.313,11.583,11.78,10.694,10.476,10.951,10.704,10.556,10.977,9.15,9.557,1.21E+07
