M_G,G-RP,BP-RP
6.171,0.672,1.184
13.634,1.479,3.843
15.478,1.478,2.37
11.81,1.281,3.108
9.801,1.27,3.038
6.65,0.717,1.292
11.14,1.249,2.529
7.369,0.852,1.622
10.964,1.2,2.725
10.838,1.226,2.697
2.852,0.272,0.409
10.223,1.169,2.592
12.425,1.32,3.318
12.105,-0.009,-0.006
10.144,1.155,2.526
8.704,1.1,2.338
3.973,0.422,0.676
6.508,0.722,1.312
11.797,1.302,3.21
5.039,0.526,0.88
15.226,0.767,1.331
6.85,0.857,1.607
13.874,1.468,3.839
10.056,1.158,2.458
5.892,0.573,0.973
13.35,1.409,3.709
9.041,1.085,2.275
10.579,1.203,2.746
3.357,0.629,1.092
8.617,0.997,2.002
6.68,0.767,1.413
8.984,1.035,2.118
12.486,0.126,-0.059
4.317,0.44,0.709
5.308,0.58,0.994
10.646,1.179,2.624
4.943,0.549,0.907
2.378,0.316,0.487
11.399,1.277,3.022
8.626,1.025,2.094
13.595,0.347,0.518
10.519,1.219,2.816
14.911,0.621,1.281
9.201,1.163,2.549
8.753,0.945,1.846
13.173,1.366,3.561
14.994,0.774,0.988
11.484,1.266,3.027
4.758,0.503,0.836
10.128,1.147,2.517
6.895,0.766,1.408
11.341,1.253,2.991
9.992,1.151,2.507
14.084,1.489,3.333
7.578,0.872,1.672
9.576,1.13,2.406
3.117,0.381,0.603
2.946,0.381,0.601
11.207,1.179,2.651
12.252,1.302,3.162
8.14,0.958,1.896
12.144,1.279,3.203
14.734,1.523,3.004
13.547,1.433,3.866
11.711,1.336,3.314
7.158,0.845,1.603
11.593,1.225,2.852
16.042,0.711,1.372
9.358,1.165,2.563
11.83,1.297,3.199
15.714,1.562,2.625
15.284,1.539,3.621
11.904,1.289,3.157
3.819,0.408,0.651
13.631,1.404,3.827
8.378,1.021,2.08
10.402,1.203,2.733
13.73,1.594,1.013
12.812,1.352,3.486
6.981,0.782,1.447
10.047,1.137,2.468
6.3,0.677,1.203
11.445,1.227,2.81
14.073,1.531,4.374
7.293,0.837,1.585
5.778,0.633,1.106
6.27,0.674,1.194
10.385,1.086,2.285
4.012,0.441,0.713
5.84,0.634,1.103
8.626,1.052,2.17
13.434,0.385,0.619
12.147,1.245,2.965
13.837,1.424,4.035
9.118,1.09,2.296
8.757,1.094,2.302
2.684,0.385,0.615
12.25,1.304,3.332
6.109,0.652,1.152
11.818,1.21,2.778
11.716,1.274,3.094
11.653,1.255,2.988
9.679,1.157,2.544
12.93,1.352,3.466
13.326,1.403,3.455
12.494,1.301,3.185
10.324,1.17,2.589
9.931,1.127,2.433
5.76,0.598,1.027
11.449,1.253,2.965
13.256,1.389,3.545
11.938,1.26,3.006
11.026,1.219,2.808
9.167,1.159,2.399
10.129,1.274,3.063
8.699,1.036,2.119
12.21,1.344,3.397
11.899,1.339,3.168
11.198,1.234,2.874
11.021,1.202,2.727
8.343,0.999,2.004
15.081,0.851,1.482
11.332,1.241,2.79
13.806,1.435,3.843
12.316,1.294,3.239
13.207,1.368,3.524
10.41,1.184,2.659
8.083,0.933,1.821
11.021,1.616,2.824
11.249,1.231,2.874
13.202,1.385,3.256
12.446,1.322,3.239
13.079,1.351,3.531
6.306,0.692,1.234
12.555,1.33,3.374
5.146,0.521,0.872
11.684,1.224,2.787
12.109,1.243,2.923
13.742,1.439,3.553
9.527,1.058,2.19
13.582,1.418,3.835
10.944,1.19,2.679
11.905,1.274,3.061
9.968,1.134,2.468
10.711,1.34,3.028
14.669,1.496,2.979
11.147,1.233,2.857
15.783,1.569,3.111
6.597,0.717,1.293
9.392,1.107,2.348
11.053,1.246,2.943
13.759,1.411,3.764
12.743,1.295,3.247
8.601,1.008,2.042
11.249,1.251,2.947
3.122,0.457,0.744
7.719,0.905,1.755
10.878,1.301,3.03
12.933,1.389,3.472
8.469,1,2.018
12.075,1.727,3.182
13.791,1.432,3.996
13.736,1.445,3.955
3.976,0.513,0.85
10.426,1.204,2.727
2.339,0.213,0.32
10.266,1.155,2.545
12.054,1.323,3.299
13.803,1.455,3.756
8.432,1.137,2.284
13.662,1.388,3.511
9.59,1.127,2.423
5.194,0.547,0.927
9.556,1.125,2.424
11.25,1.246,2.942
6.372,0.953,1.385
12.326,1.285,3.172
3.905,0.44,0.714
5.573,0.536,0.898
4.251,0.467,0.767
11.701,1.205,2.731
14.089,0.388,0.588
10.299,1.165,2.574
10.936,1.214,2.79
8.132,0.939,1.848
10.409,1.106,2.355
10.713,1.194,2.721
10.885,1.187,2.653
10.923,1.21,2.778
11.02,1.224,2.835
13.032,1.355,3.533
11.219,1.265,3.026
9.745,1.092,2.294
10.315,1.173,2.613
11.274,1.221,2.837
10.461,1.162,2.565
11.312,1.321,3.216
13.222,1.403,3.617
8.687,0.994,1.988
12.202,1.281,3.127
9.325,1.141,2.448
6.711,0.749,1.37
9.925,1.181,2.631
14.972,1.545,4.356
3.826,0.894,0.813
-0.726,0.601,1.139
4.671,0.535,0.889
10.053,1.187,2.657
10.169,1.203,2.645
7.189,0.815,1.531
7.895,0.929,1.817
13.403,1.395,3.714
11.962,1.271,3.061
13.58,1.437,3.769
9.797,1.146,2.506
10.311,1.131,2.451
8.381,1.187,2.04
6.44,0.659,1.162
7.953,0.93,1.794
8.445,1.02,2.003
11.329,1.22,2.795
13.305,1.383,3.698
13.699,1.51,3.235
4.009,0.496,0.82
7.933,0.95,1.861
10.7,1.193,2.695
7.28,0.826,1.551
7.502,0.864,1.652
15.053,1.532,2.603
11.805,1.324,3.131
7.751,1.237,1.878
11.506,1.235,2.943
6.117,0.651,1.139
8.247,0.952,1.873
8.558,1.067,2.217
8.841,1.167,2.299
4.799,0.487,0.801
11.411,1.215,2.808
12.067,1.272,3.08
11.673,-0.055,-0.055
10.045,1.272,3.072
12.215,1.242,2.957
13.242,1.368,3.678
9.662,1.155,2.527
13.231,1.412,3.493
12.344,1.334,3.511
9.595,1.111,2.365
8.864,1.113,2.333
9.755,1.161,2.375
9.824,1.137,2.462
12.672,1.337,3.294
10.241,1.224,2.768
8.512,0.979,1.961
11.545,1.243,2.925
6.138,0.651,1.144
10.957,1.149,2.508
11.528,1.307,3.205
7.582,0.899,1.741
11.032,1.21,2.762
12.846,1.568,3.807
11.714,1.267,3.032
10.186,1.177,2.623
-0.173,-0.037,-0.058
9.605,1.664,2.301
10.224,1.204,2.728
11.798,1.285,3.148
10.257,1.187,2.663
10.939,1.175,2.612
10.364,1.132,2.442
10.269,1.371,2.828
7.471,1.214,1.91
7.404,0.983,1.434
9.447,1.115,2.378
15.257,1.488,3.409
15.86,1.569,2.612
12.023,1.255,2.987
9.301,1.032,2.11
11.074,1.242,2.92
8.078,1.119,2.363
10.271,1.171,2.605
9.902,1.154,2.536
8.324,1.37,2.059
13.872,0.401,0.632
11.222,1.275,3.104
9.462,1.284,2.172
2.916,0.439,0.707
9.136,1.731,0.974
11.171,1.175,2.634
15.249,1.589,3.46
14.327,0.424,0.759
3.805,0.428,0.686
12.315,1.318,2.755
10.234,1.188,2.664
12.439,1.339,3.433
11.036,1.256,2.975
10.457,1.177,2.627
13.63,0.421,0.617
3.221,0.44,0.715
10.418,1.206,2.729
9.455,1.234,2.496
15.499,1.566,2.361
6.619,0.7,1.25
15.418,1.568,4.907
8.177,0.93,1.823
12.126,0.083,0.135
12.081,1.296,3.209
13.055,1.393,3.82
11.46,1.192,2.694
13.121,1.371,3.417
10.28,1.244,2.883
10.01,1.168,2.584
14.736,0.63,0.969
13.224,1.374,3.725
8.572,1.047,2.16
9.879,1.187,2.348
14.864,1.403,2.2
8.346,0.997,2.004
10.399,1.144,2.48
10.126,1.174,2.593
11.577,1.218,2.813
6.792,0.749,1.369
14.992,1.495,4.314
7.922,0.972,1.94
8.54,1.061,2.197
12.016,1.308,2.95
12.45,1.278,3.018
10.066,1.179,2.641
10.773,1.182,2.642
9.416,1.051,2.171
9.51,1.131,2.442
11.607,1.251,2.983
4.039,0.441,0.711
9.7,1.116,2.392
7.824,0.924,1.804
6.85,0.801,1.494
13.975,0.465,0.7
