Teff,U-B,B-V,V-R,R-I,J-H,H-K,u-g,g-r,r-i,i-z,V-J,r-J,G-RP,BP-RP,Log g,Mass,Age
3000.0,0.111,0.97,0.357,-0.588,-0.968,-1.143,1.43,0.755,-0.418,-0.964,-1.142,-1.42,0.164,0.346,8.0,0.569,1.03500001E10
3250.0,0.062,0.939,0.439,-0.204,-0.968,-0.866,1.363,0.77,-0.155,-0.682,-0.721,-1.028,0.335,0.61,8.0,0.569,9.8380001E9
3500.0,0.018,0.907,0.489,0.076,-0.966,-0.627,1.303,0.761,0.026,-0.439,-0.319,-0.634,0.457,0.805,8.0,0.569,9.3610004E9
3750.0,-0.023,0.872,0.516,0.277,-0.955,-0.469,1.245,0.741,0.144,-0.235,0.091,-0.223,0.541,0.945,8.0,0.569,8.8760003E9
4000.0,-0.064,0.838,0.524,0.398,-0.943,-0.374,1.189,0.713,0.208,-0.089,0.489,0.184,0.59,1.024,8.0,0.569,8.3449999E9
4250.0,-0.106,0.803,0.518,0.46,-0.863,-0.292,1.133,0.679,0.234,0.004,0.813,0.521,0.612,1.056,8.0,0.569,7.7500001E9
4500.0,-0.149,0.764,0.502,0.482,-0.723,-0.238,1.073,0.64,0.236,0.053,1.047,0.771,0.614,1.05,8.0,0.57,7.1650002E9
4750.0,-0.195,0.721,0.481,0.479,-0.528,-0.272,1.008,0.597,0.224,0.07,1.183,0.925,0.6,1.018,8.0,0.57,6.6060001E9
5000.0,-0.244,0.677,0.456,0.463,-0.315,-0.156,0.942,0.552,0.204,0.069,1.228,0.989,0.579,0.973,8.0,0.57,5.9779999E9
5250.0,-0.294,0.631,0.429,0.441,-0.128,-0.107,0.873,0.504,0.181,0.058,1.212,0.993,0.552,0.919,8.0,0.571,5.0220001E9
5500.0,-0.344,0.586,0.402,0.417,0.006,-0.056,0.804,0.458,0.156,0.045,1.165,0.966,0.525,0.864,8.0,0.572,3.95800013E9
5750.0,-0.393,0.542,0.374,0.39,0.087,-0.015,0.738,0.41,0.131,0.028,1.094,0.916,0.493,0.804,8.0,0.572,3.08499994E9
6000.0,-0.438,0.498,0.348,0.364,0.129,0.012,0.675,0.365,0.106,0.011,1.018,0.859,0.463,0.747,8.0,0.573,2.548E9
2000.0,0.453,1.04,-0.294,-1.695,-0.664,-1.795,1.886,0.219,-1.58,-0.59,-2.233,-2.008,-0.759,-0.873,8.5,0.898,9.6420004E9
2250.0,0.291,0.896,-0.407,-1.746,-0.655,-1.811,1.662,0.019,-1.632,-0.59,-2.397,-2.06,-0.904,-1.054,8.5,0.898,9.4500004E9
2500.0,0.186,0.945,-0.128,-1.651,-0.829,-1.77,1.529,0.374,-1.538,-0.652,-2.373,-2.317,-0.611,-0.703,8.5,0.898,9.2449997E9
2750.0,0.136,0.957,0.108,-1.335,-0.792,-1.366,1.462,0.584,-1.047,-1.022,-1.909,-2.036,-0.253,-0.245,8.5,0.898,9.0529997E9
3000.0,0.086,0.942,0.269,-0.851,-0.826,-1.121,1.394,0.686,-0.621,-1.061,-1.389,-1.616,0.021,0.133,8.5,0.898,8.8740004E9
