Teff,U,B,V,R,I,J,H,K,u,g,r,i,z,G,BP,RP,U-B,B-V,V-R,R-I,J-H,H-K,u-g,g-r,r-i,i-z,V-J,r-J,G-RP,BP-RP,Log g,Mass,Age
8000.0,11.362,11.93,11.663,11.493,11.298,11.169,11.031,11.039,12.194,11.721,11.646,11.69,11.794,11.605,11.734,11.355,-0.568,0.267,0.17,0.195,0.138,-0.008,0.473,0.075,-0.044,-0.104,0.494,0.477,0.25,0.379,7.0,0.205,3.464E8
8500.0,11.087,11.638,11.401,11.266,11.109,11.031,10.928,10.942,11.924,11.437,11.412,11.488,11.62,11.363,11.467,11.16,-0.551,0.237,0.135,0.157,0.103,-0.014,0.487,0.025,-0.076,-0.132,0.37,0.381,0.203,0.307,7.0,0.209,2.836E8
9000.0,10.842,11.367,11.154,11.054,10.934,10.902,10.832,10.852,11.684,11.172,11.194,11.3,11.459,11.137,11.218,10.978,-0.525,0.213,0.1,0.12,0.07,-0.02,0.512,-0.022,-0.106,-0.159,0.252,0.292,0.159,0.24,7.0,0.213,2.318E8
9500.0,10.621,11.119,10.925,10.859,10.774,10.784,10.744,10.769,11.467,10.928,10.993,11.129,11.314,10.928,10.988,10.812,-0.498,0.194,0.066,0.085,0.04,-0.025,0.539,-0.065,-0.136,-0.185,0.141,0.209,0.116,0.176,7.0,0.217,1.878E8
10000.0,10.423,10.898,10.725,10.69,10.638,10.683,10.669,10.696,11.272,10.713,10.817,10.981,11.189,10.744,10.785,10.67,-0.475,0.173,0.035,0.052,0.014,-0.027,0.559,-0.104,-0.164,-0.208,0.042,0.134,0.074,0.115,7.0,0.22,1.524E8
10500.0,10.253,10.717,10.563,10.555,10.531,10.603,10.607,10.636,11.104,10.536,10.678,10.865,11.093,10.596,10.62,10.558,-0.464,0.154,0.008,0.024,-0.004,-0.029,0.568,-0.142,-0.187,-0.228,-0.04,0.075,0.038,0.062,7.0,0.223,1.239E8
11000.0,10.114,10.57,10.437,10.451,10.449,10.54,10.556,10.585,10.966,10.395,10.569,10.776,11.017,10.479,10.488,10.471,-0.456,0.133,-0.014,0.002,-0.016,-0.029,0.571,-0.174,-0.207,-0.241,-0.103,0.029,0.008,0.017,7.0,0.226,9.931E7
11500.0,10.007,10.46,10.347,10.377,10.39,10.493,10.514,10.543,10.859,10.291,10.492,10.713,10.961,10.393,10.392,10.409,-0.453,0.113,-0.03,-0.013,-0.021,-0.029,0.568,-0.201,-0.221,-0.248,-0.146,-0.001,-0.016,-0.017,7.0,0.229,7.99E7
12000.0,9.89,10.351,10.258,10.302,10.328,10.442,10.468,10.498,10.742,10.188,10.414,10.648,10.902,10.308,10.296,10.343,-0.461,0.093,-0.044,-0.026,-0.026,-0.03,0.554,-0.226,-0.234,-0.254,-0.184,-0.028,-0.035,-0.047,7.0,0.231,6.589E7
12500.0,9.759,10.24,10.169,10.222,10.26,10.388,10.418,10.45,10.612,10.085,10.333,10.577,10.837,10.219,10.198,10.272,-0.481,0.071,-0.053,-0.038,-0.03,-0.032,0.527,-0.248,-0.244,-0.26,-0.219,-0.055,-0.053,-0.074,7.0,0.234,5.545E7
13000.0,9.626,10.136,10.085,10.145,10.191,10.332,10.368,10.402,10.479,9.988,10.253,10.506,10.772,10.134,10.105,10.201,-0.51,0.051,-0.06,-0.046,-0.036,-0.034,0.491,-0.265,-0.253,-0.266,-0.247,-0.079,-0.067,-0.096,7.0,0.237,4.702E7
13500.0,9.497,10.037,10.006,10.071,10.125,10.277,10.318,10.355,10.349,9.897,10.177,10.438,10.708,10.052,10.016,10.132,-0.54,0.031,-0.065,-0.054,-0.041,-0.037,0.452,-0.28,-0.261,-0.27,-0.271,-0.1,-0.08,-0.116,7.0,0.239,3.995E7
